p_categories,p_brand,p_day_created,p_sold_quantity,p_original_price,p_discount_rate
7,155,659.0,0.041051933248106305,528000,49
84,198,974.0,7.554965870635946,799000,46
84,192,1372.0,0.18709736968555732,209000,0
7,155,593.0,6.017156931877192,473000,50
15,145,529.0,1.0534686027890803,106000,16
7,155,82.0,0.10664861232594447,715000,51
84,155,775.0,0.4958968306274558,677000,48
84,155,785.0,6.838353093540317,350000,51
84,240,1280.0,-0.3915148467085812,182900,0
84,197,1070.0,1.3430841292836866,95000,0
84,285,965.0,3.402572317689775,199000,5
97,297,810.0,7.514122655361065,125000,0
151,298,273.0,-0.05363006579820727,35800,30
84,155,1616.0,3.703945739490786,924000,49
44,155,887.0,7.894707161331541,171000,53
15,11,119.0,-0.3896583369233594,1290000,9
52,192,411.0,0.7892253766925058,6000,0
115,158,266.0,-0.11365721552037993,252000,25
54,155,775.0,-0.1520250844149645,362000,45
38,240,800.0,0.6487494696107203,412000,37
108,122,103.0,-0.39337135649380306,17300000,7
36,125,503.0,0.5218879676205616,70000,0
59,177,564.0,-0.043109843681950206,119000,0
84,155,981.0,5.708976307530368,1667000,53
54,155,70.0,-0.2330926783696513,1490000,51
108,122,103.0,-0.39337135649380306,38500000,15
90,192,437.0,-0.39337135649380306,580000,0
68,155,561.0,2.7447490171261717,217000,50
120,192,1139.0,-0.39027717351843333,287000,0
70,192,401.0,-0.3927525198987291,3425000,0
21,255,573.0,1.9563511950019659,929000,46
84,240,1755.0,5.062292065678095,119000,38
104,75,1863.0,0.8647234412915271,136800,0
151,183,652.0,1.9613018877625574,155000,0
30,286,85.0,-0.3803757879972502,1498000,40
0,198,477.0,1.9835800051852195,199000,26
89,192,201.0,0.28425471511216666,280000,33
57,125,195.0,0.5175561114550439,45000,33
62,12,747.0,0.15863088631215586,169000,26
84,155,436.0,-0.18111040438343992,217000,45
84,198,501.0,0.8473960166294566,89000,46
105,45,611.0,0.5243633140008573,70000,10
7,155,575.0,1.5559639179891236,517000,52
108,123,531.0,-0.39337135649380306,5800000,15
38,155,1702.0,4.9013945509588694,979000,51
141,192,1085.0,-0.3927525198987291,32000,0
91,173,322.0,0.13573393229441988,49000,0
